user_id,email,name
41,user41@example.com,User 41
42,user42@example.com,User 42
43,invalid-email,User 43
44,user44@example.com,
45,user45@example.com,User 45
46,user46@example.com,User 46
47,user47@example.com,User 47
48,user48@example.com,User 48
49,user49@example.com,User 49
50,user50@example.com,User 50
51,user51@example.com,User 51
52,user52@example.com,User 52
53,user53@example.com,User 53
54,user54@example.com,User 54
55,user55@example.com,User 55
56,user56@example.com,User 56
57,user57@example.com,User 57
58,user58@example.com,
59,user59@example.com,User 59
60,user60@example.com,User 60
