user_id,email,name
81,invalid-email,User 81
82,user82@example.com,User 82
83,invalid-email,User 83
84,user84@example.com,User 84
85,user85@example.com,User 85
86,user86@example.com,User 86
87,invalid-email,User 87
88,user88@example.com,User 88
89,user89@example.com,User 89
90,user90@example.com,User 90
91,user91@example.com,User 91
92,user92@example.com,User 92
93,user93@example.com,User 93
94,user94@example.com,User 94
95,user95@example.com,User 95
96,user96@example.com,User 96
97,user97@example.com,User 97
98,user98@example.com,User 98
99,user99@example.com,User 99
100,user100@example.com,User 100
