user_id,email,name
101,invalid-email,User 101
102,user102@example.com,User 102
103,user103@example.com,User 103
104,user104@example.com,User 104
105,user105@example.com,User 105
106,user106@example.com,User 106
107,user107@example.com,User 107
108,user108@example.com,
109,user109@example.com,User 109
110,user110@example.com,User 110
111,user111@example.com,User 111
112,user112@example.com,User 112
113,user113@example.com,User 113
114,user114@example.com,User 114
115,user115@example.com,User 115
116,user116@example.com,User 116
117,invalid-email,User 117
118,user118@example.com,User 118
119,user119@example.com,User 119
120,user120@example.com,User 120
